date,currency,rate
2024-01-01,EUR,502.2400
2024-01-01,RUB,5.0600
2024-01-01,USD,454.5600
2024-01-02,EUR,502.2400
2024-01-02,RUB,5.0600
2024-01-02,USD,454.5600
2024-01-03,EUR,502.2400
2024-01-03,RUB,5.0600
2024-01-03,USD,454.5600
2024-01-04,EUR,499.8400
2024-01-04,RUB,5.0000
2024-01-04,USD,457.0600
2024-01-05,EUR,500.1500
2024-01-05,RUB,5.0000
2024-01-05,USD,456.0900
2024-01-08,EUR,494.7400
2024-01-08,RUB,4.9800
2024-01-08,USD,453.4300
2024-01-09,EUR,495.9300
2024-01-09,RUB,4.9900
2024-01-09,USD,453.4000
2024-01-10,EUR,495.9700
2024-01-10,RUB,5.0200
2024-01-10,USD,453.1900
2024-01-11,EUR,496.1800
2024-01-11,RUB,5.0700
2024-01-11,USD,453.3400
2024-01-12,EUR,496.8000
2024-01-12,RUB,5.1000
2024-01-12,USD,453.1200
2024-01-15,EUR,494.7500
2024-01-15,RUB,5.1200
2024-01-15,USD,451.3300
2024-01-16,EUR,494.0200
2024-01-16,RUB,5.1500
2024-01-16,USD,451.3700
2024-01-17,EUR,491.1400
2024-01-17,RUB,5.1500
2024-01-17,USD,451.2500
2024-01-18,EUR,492.6700
2024-01-18,RUB,5.1300
2024-01-18,USD,452.9500
2024-01-19,EUR,491.6500
2024-01-19,RUB,5.1000
2024-01-19,USD,451.8000
2024-01-22,EUR,489.7300
2024-01-22,RUB,5.0900
2024-01-22,USD,450.0400
2024-01-23,EUR,488.7600
2024-01-23,RUB,5.1100
2024-01-23,USD,448.6100
2024-01-24,EUR,485.5500
2024-01-24,RUB,5.0700
2024-01-24,USD,446.0300
2024-01-25,EUR,485.5600
2024-01-25,RUB,5.0400
2024-01-25,USD,445.4300
2024-01-26,EUR,485.9100
2024-01-26,RUB,5.0300
2024-01-26,USD,446.0300
2024-01-29,EUR,487.7000
2024-01-29,RUB,5.0300
2024-01-29,USD,449.7400
2024-01-30,EUR,487.0100
2024-01-30,RUB,5.0200
2024-01-30,USD,449.9800
2024-01-31,EUR,485.1400
2024-01-31,RUB,5.0300
2024-01-31,USD,448.1700
2024-02-01,EUR,484.5000
2024-02-01,RUB,4.9900
2024-02-01,USD,447.7400
2024-02-02,EUR,485.6100
2024-02-02,RUB,4.9800
2024-02-02,USD,449.6400
2024-02-05,EUR,491.3600
2024-02-05,RUB,4.9800
2024-02-05,USD,451.2400
2024-02-06,EUR,487.2400
2024-02-06,RUB,4.9700
2024-02-06,USD,453.1600
2024-02-07,EUR,487.7300
2024-02-07,RUB,5.0100
2024-02-07,USD,454.5900
2024-02-08,EUR,486.9100
2024-02-08,RUB,4.9600
2024-02-08,USD,452.1400
2024-02-09,EUR,485.4700
2024-02-09,RUB,4.9300
2024-02-09,USD,450.3400
2024-02-12,EUR,481.3000
2024-02-12,RUB,4.9200
2024-02-12,USD,447.1000
2024-02-13,EUR,481.0300
2024-02-13,RUB,4.9000
2024-02-13,USD,446.7200
2024-02-14,EUR,482.2600
2024-02-14,RUB,4.9100
2024-02-14,USD,447.9900
2024-02-15,EUR,478.4700
2024-02-15,RUB,4.8900
2024-02-15,USD,447.1700
2024-02-16,EUR,480.8100
2024-02-16,RUB,4.8800
2024-02-16,USD,448.0600
2024-02-19,EUR,483.0000
2024-02-19,RUB,4.8500
2024-02-19,USD,448.6800
2024-02-20,EUR,484.9800
2024-02-20,RUB,4.8700
2024-02-20,USD,450.1400
2024-02-21,EUR,489.0400
2024-02-21,RUB,4.9000
2024-02-21,USD,452.9400
2024-02-22,EUR,486.7700
2024-02-22,RUB,4.8800
2024-02-22,USD,450.8000
2024-02-23,EUR,488.8100
2024-02-23,RUB,4.8400
2024-02-23,USD,450.4700
