date,currency,rate
2025-09-08,AED,146.4600
2025-09-08,AMD,14.1600
2025-09-08,AUD,351.9000
2025-09-08,AZN,317.3500
2025-09-08,BRL,98.7400
2025-09-08,BYN,159.4700
2025-09-08,CAD,389.9900
2025-09-08,CHF,670.0400
2025-09-08,CNY,75.3600
2025-09-08,CZK,25.7500
2025-09-08,DKK,84.2500
2025-09-08,EUR,628.8700
2025-09-08,GBP,724.9400
2025-09-08,GEL,202.0700
2025-09-08,HKD,68.9400
2025-09-08,HUF,16.0000
2025-09-08,INR,6.1000
2025-09-08,IRR,12.8000
2025-09-08,JPY,3.6300
2025-09-08,KGS,6.1500
2025-09-08,KRW,38.7000
2025-09-08,KWD,1759.6600
2025-09-08,MDL,32.3700
2025-09-08,MXN,28.8100
2025-09-08,MYR,127.4700
2025-09-08,NOK,53.5300
2025-09-08,PLN,147.9000
2025-09-08,RUB,6.6000
2025-09-08,SAR,143.3700
2025-09-08,SEK,57.1900
2025-09-08,SGD,418.2200
2025-09-08,THB,16.7300
2025-09-08,TJS,57.2200
2025-09-08,TRY,13.0400
2025-09-08,UAH,13.0500
2025-09-08,USD,537.9100
2025-09-08,UZS,4.3500
2025-09-08,XDR,735.3900
2025-09-08,ZAR,30.4400
2025-09-09,AED,145.7000
2025-09-09,AMD,14.0800
2025-09-09,AUD,352.4400
2025-09-09,AZN,315.7100
2025-09-09,BRL,98.8700
2025-09-09,BYN,158.5500
2025-09-09,CAD,387.6900
2025-09-09,CHF,672.9500
2025-09-09,CNY,75.0500
2025-09-09,CZK,25.7700
2025-09-09,DKK,84.0500
2025-09-09,EUR,627.4400
2025-09-09,GBP,723.9800
2025-09-09,GEL,201.0300
2025-09-09,HKD,68.6600
2025-09-09,HUF,15.9600
2025-09-09,INR,6.0800
2025-09-09,IRR,12.7000
2025-09-09,JPY,3.6200
2025-09-09,KGS,6.1200
2025-09-09,KRW,38.5100
2025-09-09,KWD,1752.3400
2025-09-09,MDL,32.3300
2025-09-09,MXN,28.6500
2025-09-09,MYR,126.9600
2025-09-09,NOK,53.6200
2025-09-09,PLN,147.5700
2025-09-09,RUB,6.5200
2025-09-09,SAR,142.6200
2025-09-09,SEK,57.0900
2025-09-09,SGD,416.7700
2025-09-09,THB,16.8400
2025-09-09,TJS,56.9300
2025-09-09,TRY,12.9700
2025-09-09,UAH,12.9700
2025-09-09,USD,535.1300
2025-09-09,UZS,4.3000
2025-09-09,XDR,732.6500
