date,currency,rate
2023-01-02,EUR,492.8600
2023-01-02,RUB,6.4300
2023-01-02,USD,462.6500
2023-01-03,EUR,492.8600
2023-01-03,RUB,6.4300
2023-01-03,USD,462.6500
2023-01-04,EUR,492.8600
2023-01-04,RUB,6.4300
2023-01-04,USD,462.6500
2023-01-05,EUR,493.7800
2023-01-05,RUB,6.5300
2023-01-05,USD,465.3900
2023-01-06,EUR,494.9100
2023-01-06,RUB,6.5300
2023-01-06,USD,465.9300
2023-01-09,EUR,486.9400
2023-01-09,RUB,6.4500
2023-01-09,USD,463.3100
2023-01-10,EUR,493.5200
2023-01-10,RUB,6.6500
2023-01-10,USD,462.4900
2023-01-11,EUR,496.2000
2023-01-11,RUB,6.6500
2023-01-11,USD,461.8400
2023-01-12,EUR,496.4500
2023-01-12,RUB,6.6900
2023-01-12,USD,462.2000
2023-01-13,EUR,497.9200
2023-01-13,RUB,6.8300
2023-01-13,USD,462.5800
2023-01-16,EUR,501.2100
2023-01-16,RUB,6.8700
2023-01-16,USD,462.2900
2023-01-17,EUR,500.6300
2023-01-17,RUB,6.7600
2023-01-17,USD,462.6900
2023-01-18,EUR,502.0100
2023-01-18,RUB,6.7700
2023-01-18,USD,464.0900
2023-01-19,EUR,504.6400
2023-01-19,RUB,6.7600
2023-01-19,USD,464.3400
2023-01-20,EUR,501.0400
2023-01-20,RUB,6.7300
2023-01-20,USD,462.7700
2023-01-23,EUR,500.8500
2023-01-23,RUB,6.7400
2023-01-23,USD,462.5500
2023-01-24,EUR,504.0900
2023-01-24,RUB,6.7400
2023-01-24,USD,462.0400
2023-01-25,EUR,501.5600
2023-01-25,RUB,6.7200
2023-01-25,USD,461.8800
2023-01-26,EUR,502.0600
2023-01-26,RUB,6.7000
2023-01-26,USD,461.4100
2023-01-27,EUR,502.6200
2023-01-27,RUB,6.6900
2023-01-27,USD,461.3700
2023-01-30,EUR,501.0400
2023-01-30,RUB,6.6500
2023-01-30,USD,460.4300
2023-01-31,EUR,501.3100
2023-01-31,RUB,6.6200
2023-01-31,USD,459.9200
2023-02-01,EUR,498.6900
2023-02-01,RUB,6.5300
2023-02-01,USD,460.5100
2023-02-02,EUR,501.5600
2023-02-02,RUB,6.5700
2023-02-02,USD,460.8700
2023-02-03,EUR,505.7700
2023-02-03,RUB,6.5700
2023-02-03,USD,459.9200
2023-02-06,EUR,501.3000
2023-02-06,RUB,6.5200
2023-02-06,USD,458.6900
2023-02-07,EUR,492.8100
2023-02-07,RUB,6.4900
2023-02-07,USD,457.7000
2023-02-08,EUR,489.4300
2023-02-08,RUB,6.4500
2023-02-08,USD,456.9800
2023-02-09,EUR,489.9600
2023-02-09,RUB,6.3600
2023-02-09,USD,455.6500
2023-02-10,EUR,486.8200
2023-02-10,RUB,6.2200
2023-02-10,USD,452.3900
2023-02-13,EUR,482.5700
2023-02-13,RUB,6.1900
2023-02-13,USD,450.7900
2023-02-14,EUR,483.0600
2023-02-14,RUB,6.1400
2023-02-14,USD,452.4300
2023-02-15,EUR,485.4100
2023-02-15,RUB,6.1100
2023-02-15,USD,451.1700
2023-02-16,EUR,479.7200
2023-02-16,RUB,6.0200
2023-02-16,USD,447.2900
2023-02-17,EUR,475.0900
2023-02-17,RUB,5.9500
2023-02-17,USD,444.0900
2023-02-20,EUR,472.4800
2023-02-20,RUB,5.9600
2023-02-20,USD,444.2300
2023-02-21,EUR,478.0300
2023-02-21,RUB,6.0500
2023-02-21,USD,447.6800
2023-02-22,EUR,475.2000
2023-02-22,RUB,5.9800
2023-02-22,USD,445.6500
2023-02-23,EUR,475.0000
2023-02-23,RUB,5.9600
2023-02-23,USD,446.6000
2023-02-24,EUR,475.6800
2023-02-24,RUB,5.9900
2023-02-24,USD,449.2200
2023-02-27,EUR,473.8800
2023-02-27,RUB,5.9300
2023-02-27,USD,447.7300
2023-02-28,EUR,473.8000
2023-02-28,RUB,5.9600
2023-02-28,USD,449.1400
2023-03-01,EUR,472.7500
2023-03-01,RUB,5.9600
2023-03-01,USD,445.8200
2023-03-02,EUR,470.4100
2023-03-02,RUB,5.8800
2023-03-02,USD,442.1100
2023-03-03,EUR,462.8800
2023-03-03,RUB,5.7800
2023-03-03,USD,435.6900
2023-03-06,EUR,457.2900
2023-03-06,RUB,5.7200
2023-03-06,USD,431.0800
2023-03-07,EUR,460.0600
2023-03-07,RUB,5.7500
2023-03-07,USD,432.8300
2023-03-08,EUR,467.3400
2023-03-08,RUB,5.8100
2023-03-08,USD,438.5700
2023-03-09,EUR,467.3400
2023-03-09,RUB,5.8100
2023-03-09,USD,438.5700
2023-03-10,EUR,465.6000
2023-03-10,RUB,5.8200
2023-03-10,USD,441.1200
2023-03-13,EUR,471.8500
2023-03-13,RUB,5.8700
2023-03-13,USD,445.9800
2023-03-14,EUR,487.1200
2023-03-14,RUB,6.0400
2023-03-14,USD,456.6600
2023-03-15,EUR,490.7500
2023-03-15,RUB,6.0900
2023-03-15,USD,458.2200
2023-03-16,EUR,496.2100
2023-03-16,RUB,6.1400
2023-03-16,USD,464.7900
2023-03-17,EUR,494.8200
2023-03-17,RUB,6.1000
2023-03-17,USD,466.1500
2023-03-20,EUR,490.5100
2023-03-20,RUB,6.0200
2023-03-20,USD,460.7900
2023-03-21,EUR,493.4800
2023-03-21,RUB,5.9900
2023-03-21,USD,462.3600
2023-03-22,EUR,493.4800
2023-03-22,RUB,5.9900
2023-03-22,USD,462.3600
2023-03-23,EUR,493.4800
2023-03-23,RUB,5.9900
2023-03-23,USD,462.3600
2023-03-24,EUR,493.4800
2023-03-24,RUB,5.9900
2023-03-24,USD,462.3600
2023-03-27,EUR,490.3500
2023-03-27,RUB,5.9700
2023-03-27,USD,457.2900
2023-03-28,EUR,493.8400
2023-03-28,RUB,6.0000
2023-03-28,USD,458.8700
2023-03-29,EUR,492.1300
2023-03-29,RUB,5.9400
2023-03-29,USD,455.0000
2023-03-30,EUR,486.9100
2023-03-30,RUB,5.8300
2023-03-30,USD,448.3900
2023-03-31,EUR,486.5800
2023-03-31,RUB,5.8200
2023-03-31,USD,448.0500
2023-04-03,EUR,491.6400
2023-04-03,RUB,5.8600
2023-04-03,USD,451.7100
2023-04-04,EUR,489.7800
2023-04-04,RUB,5.7800
2023-04-04,USD,450.8300
2023-04-05,EUR,491.2300
2023-04-05,RUB,5.6600
2023-04-05,USD,449.3900
2023-04-06,EUR,489.3200
2023-04-06,RUB,5.6300
2023-04-06,USD,446.7900
2023-04-07,EUR,487.8400
2023-04-07,RUB,5.5400
2023-04-07,USD,447.3100
2023-04-10,EUR,485.5900
2023-04-10,RUB,5.3600
2023-04-10,USD,445.0100
2023-04-11,EUR,484.5000
2023-04-11,RUB,5.4400
2023-04-11,USD,444.2900
2023-04-12,EUR,489.7500
2023-04-12,RUB,5.4600
2023-04-12,USD,448.8200
2023-04-13,EUR,494.9200
2023-04-13,RUB,5.5200
2023-04-13,USD,452.9700
2023-04-14,EUR,495.8800
2023-04-14,RUB,5.5100
2023-04-14,USD,449.8600
2023-04-17,EUR,497.9300
2023-04-17,RUB,5.5200
2023-04-17,USD,450.2500
2023-04-18,EUR,492.3100
2023-04-18,RUB,5.5200
2023-04-18,USD,448.4100
2023-04-19,EUR,494.8800
2023-04-19,RUB,5.5300
2023-04-19,USD,451.0000
2023-04-20,EUR,497.3500
2023-04-20,RUB,5.5800
2023-04-20,USD,455.0700
2023-04-21,EUR,499.3700
2023-04-21,RUB,5.5800
2023-04-21,USD,455.6300
2023-04-24,EUR,501.3400
2023-04-24,RUB,5.6800
2023-04-24,USD,457.6800
2023-04-25,EUR,501.9300
2023-04-25,RUB,5.6200
2023-04-25,USD,456.3400
2023-04-26,EUR,501.8600
2023-04-26,RUB,5.5900
2023-04-26,USD,455.0400
2023-04-27,EUR,501.1800
2023-04-27,RUB,5.5600
2023-04-27,USD,453.9300
2023-04-28,EUR,503.4700
2023-04-28,RUB,5.6000
2023-04-28,USD,456.2100
2023-05-01,EUR,498.1800
2023-05-01,RUB,5.6300
2023-05-01,USD,453.3900
2023-05-02,EUR,498.1800
2023-05-02,RUB,5.6300
2023-05-02,USD,453.3900
2023-05-03,EUR,491.8600
2023-05-03,RUB,5.6400
2023-05-03,USD,449.1500
2023-05-04,EUR,488.5400
2023-05-04,RUB,5.5800
2023-05-04,USD,442.5200
2023-05-05,EUR,492.2200
2023-05-05,RUB,5.6900
2023-05-05,USD,445.2900
2023-05-08,EUR,490.9700
2023-05-08,RUB,5.8000
2023-05-08,USD,445.2800
2023-05-09,EUR,490.9700
2023-05-09,RUB,5.8000
2023-05-09,USD,445.2800
2023-05-10,EUR,490.9700
2023-05-10,RUB,5.8000
2023-05-10,USD,445.2800
2023-05-11,EUR,486.6700
2023-05-11,RUB,5.8200
2023-05-11,USD,444.1600
2023-05-12,EUR,485.0900
2023-05-12,RUB,5.8800
2023-05-12,USD,444.2200
2023-05-15,EUR,486.5300
2023-05-15,RUB,5.7800
2023-05-15,USD,445.9900
2023-05-16,EUR,489.6300
2023-05-16,RUB,5.6900
2023-05-16,USD,450.4800
2023-05-17,EUR,489.2400
2023-05-17,RUB,5.6100
2023-05-17,USD,449.1300
2023-05-18,EUR,486.9700
2023-05-18,RUB,5.5700
2023-05-18,USD,449.6900
2023-05-19,EUR,485.8900
2023-05-19,RUB,5.6100
2023-05-19,USD,449.1900
2023-05-22,EUR,484.2200
2023-05-22,RUB,5.6200
2023-05-22,USD,448.3100
2023-05-23,EUR,481.4900
2023-05-23,RUB,5.5800
2023-05-23,USD,445.1200
2023-05-24,EUR,476.1500
2023-05-24,RUB,5.5100
2023-05-24,USD,441.7400
2023-05-25,EUR,478.8000
2023-05-25,RUB,5.5600
2023-05-25,USD,444.4400
2023-05-26,EUR,479.3000
2023-05-26,RUB,5.6000
2023-05-26,USD,446.6500
2023-05-29,EUR,478.3500
2023-05-29,RUB,5.5700
2023-05-29,USD,445.6800
2023-05-30,EUR,476.2700
2023-05-30,RUB,5.5600
2023-05-30,USD,444.4500
2023-05-31,EUR,479.1800
2023-05-31,RUB,5.5300
2023-05-31,USD,447.0800
2023-06-01,EUR,478.3300
2023-06-01,RUB,5.5800
2023-06-01,USD,448.1300
2023-06-02,EUR,480.4400
2023-06-02,RUB,5.5600
2023-06-02,USD,448.7200
2023-06-05,EUR,482.1600
2023-06-05,RUB,5.5400
2023-06-05,USD,447.9000
2023-06-06,EUR,479.6700
2023-06-06,RUB,5.5200
2023-06-06,USD,448.7100
2023-06-07,EUR,478.6900
2023-06-07,RUB,5.5100
2023-06-07,USD,447.7100
2023-06-08,EUR,477.6500
2023-06-08,RUB,5.4900
2023-06-08,USD,446.6500
2023-06-09,EUR,477.1900
2023-06-09,RUB,5.4200
2023-06-09,USD,444.8500
2023-06-12,EUR,479.4000
2023-06-12,RUB,5.4000
2023-06-12,USD,445.6200
2023-06-13,EUR,482.2100
2023-06-13,RUB,5.4300
2023-06-13,USD,447.3200
2023-06-14,EUR,484.6900
2023-06-14,RUB,5.3500
2023-06-14,USD,448.6200
2023-06-15,EUR,486.3100
2023-06-15,RUB,5.3500
2023-06-15,USD,450.1600
2023-06-16,EUR,490.0400
2023-06-16,RUB,5.3900
2023-06-16,USD,451.8200
2023-06-19,EUR,493.7000
2023-06-19,RUB,5.4000
2023-06-19,USD,450.9900
2023-06-20,EUR,487.7100
2023-06-20,RUB,5.3300
2023-06-20,USD,447.1500
2023-06-21,EUR,489.6800
2023-06-21,RUB,5.3300
2023-06-21,USD,448.3000
2023-06-22,EUR,488.3800
2023-06-22,RUB,5.3200
2023-06-22,USD,447.4000
2023-06-23,EUR,492.3800
2023-06-23,RUB,5.3600
2023-06-23,USD,447.6200
2023-06-26,EUR,485.5000
2023-06-26,RUB,5.3200
2023-06-26,USD,447.0500
2023-06-27,EUR,490.3000
2023-06-27,RUB,5.3200
2023-06-27,USD,450.0600
2023-06-28,EUR,492.7400
2023-06-28,RUB,5.3000
2023-06-28,USD,450.3600
2023-06-29,EUR,492.7400
2023-06-29,RUB,5.3000
2023-06-29,USD,450.3600
2023-06-30,EUR,495.6800
2023-06-30,RUB,5.2200
2023-06-30,USD,454.1300
2023-07-03,EUR,490.2200
2023-07-03,RUB,5.1700
2023-07-03,USD,449.3300
2023-07-04,EUR,487.9700
2023-07-04,RUB,5.0100
2023-07-04,USD,448.1300
2023-07-05,EUR,486.9100
2023-07-05,RUB,4.9900
2023-07-05,USD,446.7900
2023-07-06,EUR,483.4700
2023-07-06,RUB,4.9000
2023-07-06,USD,443.8400
2023-07-07,EUR,483.4700
2023-07-07,RUB,4.9000
