date,currency,rate
2021-01-01,EUR,516.7900
2021-01-01,RUB,5.6200
2021-01-01,USD,420.9100
2021-01-04,EUR,516.7900
2021-01-04,RUB,5.6200
2021-01-04,USD,420.9100
2021-01-05,EUR,516.7900
2021-01-05,RUB,5.6200
2021-01-05,USD,420.9100
2021-01-06,EUR,516.3800
2021-01-06,RUB,5.6200
2021-01-06,USD,420.7800
2021-01-07,EUR,516.8500
2021-01-07,RUB,5.6900
2021-01-07,USD,418.9400
2021-01-08,EUR,516.8500
2021-01-08,RUB,5.6900
2021-01-08,USD,418.9400
2021-01-11,EUR,512.8900
2021-01-11,RUB,5.6300
2021-01-11,USD,418.9600
2021-01-12,EUR,509.6200
2021-01-12,RUB,5.6300
2021-01-12,USD,419.1300
2021-01-13,EUR,511.0800
2021-01-13,RUB,5.6700
2021-01-13,USD,420.3000
2021-01-14,EUR,510.9000
2021-01-14,RUB,5.6800
2021-01-14,USD,419.1500
2021-01-15,EUR,510.8800
2021-01-15,RUB,5.7200
2021-01-15,USD,419.9600
2021-01-18,EUR,509.2000
2021-01-18,RUB,5.7200
2021-01-18,USD,419.5400
2021-01-19,EUR,506.8700
2021-01-19,RUB,5.6600
2021-01-19,USD,420.2900
2021-01-20,EUR,509.3400
2021-01-20,RUB,5.7000
2021-01-20,USD,420.3200
2021-01-21,EUR,507.6400
2021-01-21,RUB,5.7100
2021-01-21,USD,418.6700
2021-01-22,EUR,507.9500
2021-01-22,RUB,5.6900
2021-01-22,USD,418.4100
2021-01-25,EUR,510.8900
2021-01-25,RUB,5.6300
2021-01-25,USD,419.6900
2021-01-26,EUR,510.9900
2021-01-26,RUB,5.5800
2021-01-26,USD,420.6700
2021-01-27,EUR,511.5700
2021-01-27,RUB,5.5900
2021-01-27,USD,421.9100
2021-01-28,EUR,511.6100
2021-01-28,RUB,5.6100
2021-01-28,USD,421.9800
2021-01-29,EUR,512.6300
2021-01-29,RUB,5.5600
2021-01-29,USD,423.4200
2021-02-01,EUR,513.9000
2021-02-01,RUB,5.5600
2021-02-01,USD,424.2200
2021-02-02,EUR,512.8900
2021-02-02,RUB,5.6200
2021-02-02,USD,424.1600
2021-02-03,EUR,511.2400
2021-02-03,RUB,5.5800
2021-02-03,USD,423.7400
2021-02-04,EUR,509.2800
2021-02-04,RUB,5.5700
2021-02-04,USD,423.5900
2021-02-05,EUR,505.6700
2021-02-05,RUB,5.6000
2021-02-05,USD,421.9900
2021-02-08,EUR,503.5400
2021-02-08,RUB,5.6100
2021-02-08,USD,420.4900
2021-02-09,EUR,503.7100
2021-02-09,RUB,5.6300
2021-02-09,USD,418.8200
2021-02-10,EUR,505.8200
2021-02-10,RUB,5.6500
2021-02-10,USD,417.7600
2021-02-11,EUR,506.3000
2021-02-11,RUB,5.6600
2021-02-11,USD,417.8400
2021-02-12,EUR,506.4700
2021-02-12,RUB,5.6600
2021-02-12,USD,417.6000
2021-02-15,EUR,507.0300
2021-02-15,RUB,5.6400
2021-02-15,USD,418.8600
2021-02-16,EUR,505.8300
2021-02-16,RUB,5.6900
2021-02-16,USD,416.8700
2021-02-17,EUR,506.2800
2021-02-17,RUB,5.6800
2021-02-17,USD,416.6200
2021-02-18,EUR,502.8700
2021-02-18,RUB,5.6600
2021-02-18,USD,416.8000
2021-02-19,EUR,502.1900
2021-02-19,RUB,5.6500
2021-02-19,USD,415.9600
2021-02-22,EUR,507.1200
2021-02-22,RUB,5.6600
2021-02-22,USD,417.9700
2021-02-23,EUR,504.2700
2021-02-23,RUB,5.5700
2021-02-23,USD,416.5100
2021-02-24,EUR,504.0300
2021-02-24,RUB,5.5900
2021-02-24,USD,414.9400
